source	target	depth
social contract	social justice in the liberal state	2
social contract	social rights (social contract theory)	2
social contract	social solidarity	2
social contract	societal collapse	2
social contract	consent theory	2
social contract	crito	2
social contract	plato	2
social contract	juan de mariana	2
smart contract	code and other laws of cyberspace	2
smart contract	decentralized application	2
smart contract	secure multiparty computation	2
smart contract	ricardian contract	2
restitution	blood money (term)	2
restitution	english unjust enrichment law	2
restitution	equity (legal concept)	2
restitution	quasi-contract	2
restitution	restitution (theology)	2
restitution	legal remedy	2
restitution	reparation (legal)	2
restitution	reparations agreement between israel and west germany	2
restitution	holocaust reparations	2
restitution	world war i reparations	2
restitution	reparations for slavery debate in the united states	2
restitution	reparations (website)	2
restitution	war reparations	2
restitution	reparations for slavery	2
restitution	slavery reparations scam	2
restitution	the national coalition of blacks for reparations in america	2
restitution	reparations (transitional justice)	2
quasi-contract	contract	2
quasi-contract	implied-in-fact contract	2
quasi-contract	promissory estoppel	2
quasi-contract	restitution	2
quasi-contract	unjust enrichment	2
quasi-contract	officious intermeddler	2
principal–agent problem	adverse selection	2
principal–agent problem	autonomous agency theory	2
principal–agent problem	contract theory	2
principal–agent problem	control fraud	2
principal–agent problem	cost overrun	2
principal–agent problem	fiduciary	2
principal–agent problem	honest services fraud	2
principal–agent problem	multiple principal problem	2
principal–agent problem	participative decision-making	2
principal–agent problem	self-dealing	2
principal–agent problem	structure and agency	2
principal–agent problem	the market for lemons	2
principal–agent problem	trustee	2
perfect tender rule	substantial performance	2
order (business)	bill of sale	2
order (business)	contract of sale	2
order (business)	delivery order	2
order (business)	distribution (business)	2
order (business)	marketing	2
order (business)	order (exchange)	2
order (business)	supply chain	2
option contract	offer and acceptance	2
option contract	firm offer	2
negotiation	alternative dispute resolution	2
negotiation	alternating offers protocol	2
negotiation	collaborative software	2
negotiation	collective action	2
negotiation	conciliation	2
negotiation	conflict resolution research	2
negotiation	consistency (negotiation)	2
negotiation	contract	2
negotiation	cross-cultural	2
negotiation	cross-cultural differences in decision-making	2
negotiation	diplomacy	2
negotiation	dispute resolution	2
negotiation	expert determination	2
negotiation	flipism	2
negotiation	game theory	2
negotiation	impasse	2
negotiation	international relations	2
negotiation	leadership	2
negotiation	multilateralism	2
negotiation	nash equilibrium	2
negotiation	principled negotiation	2
negotiation	prisoner's dilemma	2
negotiation	program on negotiation	2
negotiation	delaying tactic	2
memorandum of understanding	gentlemen's agreement	2
memorandum of understanding	letter of comfort (contract law)	2
memorandum of understanding	memorandum of conversation	2
letters of assist	department of peacekeeping operations	2
letters of assist	fixed price	2
letters of assist	offer and acceptance	2
letters of assist	task force scorpio	2
letters of assist	united nations humanitarian response depot	2
legal remedy	damages	2
legal remedy	compensatory damages	2
legal remedy	consequential damages	2
legal remedy	punitive damages	2
legal remedy	incidental damages	2
legal remedy	nominal damages	2
legal remedy	liquidated damages	2
legal remedy	statutory damages	2
legal remedy	reliance damages	2
legal remedy	treble damages	2
legal remedy	injunction	2
legal remedy	account of profits	2
legal remedy	constructive trust	2
legal remedy	equitable lien	2
legal remedy	subrogation	2
legal remedy	specific performance	2
legal remedy	rectification (law)	2
legal remedy	rescission (contract law)	2
legal remedy	restitution	2
legal remedy	declaratory judgment	2
legal remedy	adequate remedy	2
legal remedy	civil remedy	2
legal remedy	civil and political rights	2
legal remedy	election of remedies	2
legal remedy	equity (law)	2
legal remedy	equitable remedy	2
legal remedy	habeas corpus	2
legal remedy	provisional remedy	2
invitation to treat	offer and acceptance	2
information asymmetry	artificial scarcity	2
information asymmetry	asymmetric competition	2
information asymmetry	bounded rationality	2
information asymmetry	inequality of bargaining power	2
information asymmetry	perfect information	2
information asymmetry	real prices and ideal prices	2
indenture	coolitude	2
indenture	corporate finance	2
indenture	debt security	2
indenture	debt bondage	2
indenture	debenture	2
indenture	indentured servant	2
indenture	indian indenture system	2
indenture	irish slaves myth	2
indenture	prospectus (finance)	2
indenture	securities law	2
indenture	slavery	2
good faith	bad faith	2
good faith	convention relating to the status of refugees	2
good faith	hanlon's razor	2
good faith	honor system	2
good faith	kindness	2
good faith	make one's bones	2
good faith	pacta sunt servanda	2
good faith	uberrima fides	2
gentlemen's agreement	antitrust	2
gentlemen's agreement	gentlemen's agreement of andhra pradesh (1956)	2
gentlemen's agreement	good faith	2
gentlemen's agreement	handshake	2
gentlemen's agreement	memorandum of understanding	2
gentlemen's agreement	news embargo	2
force majeure	act of god	2
force majeure	contract law	2
force majeure	hardship clause	2
force majeure	hell or high water clause	2
force majeure	impossibility	2
force majeure	mutual assent	2
force majeure	substantial performance	2
estoppel	acquiescence	2
estoppel	assignor estoppel	2
estoppel	collateral estoppel	2
estoppel	de facto corporation and corporation by estoppel	2
estoppel	direct estoppel	2
estoppel	estoppel by deed	2
estoppel	judicial estoppel	2
estoppel	licensee estoppel	2
estoppel	mcdonald v attorney-general	2
estoppel	civil law (legal system)	2
estoppel	prosecution history estoppel	2
document automation	document composition	2
document automation	document modelling	2
document automation	document processor	2
document automation	intelligent document	2
document automation	template processor	2
document automation	turnaround document	2
design by contract	component-based software engineering	2
design by contract	correctness (computer science)	2
design by contract	defensive programming	2
design by contract	fail-fast	2
design by contract	formal methods	2
design by contract	hoare logic	2
design by contract	modular programming	2
design by contract	program derivation	2
design by contract	program refinement	2
design by contract	test-driven development	2
design by contract	typestate analysis	2
contract theory	agency cost	2
contract theory	allocative efficiency	2
contract theory	complete contract	2
contract theory	incomplete contracts	2
contract theory	clawback	2
contract theory	contract	2
contract theory	contract awarding	2
contract theory	default rule	2
contract theory	mechanism design	2
contract theory	new institutional economics	2
contract theory	perverse incentive	2
contract of sale	contract for future sale	2
contract of sale	danish sale of goods act	2
contract of sale	sale of goods act 1893	2
contract of sale	sale of goods act 1979	2
contract of sale	consumer rights act 2015	2
contract of sale	bill of sale	2
contract of sale	part exchange	2
contract of sale	tendering	2
contract management	commercial management	2
contract management	contract management software	2
contract management	document automation	2
contract management	government contract	2
contract management	national contract management association	2
contract management	group purchasing organization	2
contract management	office of federal contract compliance programs	2
contract management	uniform commercial code	2
contract management	united nations convention on contracts for the international sale of goods	2
contract management	relational contract	2
contract management	vested outsourcing	2
contract farming	agriculture	2
contract farming	agricultural marketing	2
contract farming	agricultural value chain	2
contract farming	agribusiness	2
contract farming	food systems	2
contract farming	food quality	2
contract awarding	contract	2
contract awarding	contract theory	2
contract awarding	government procurement	2
contract awarding	public works	2
contract awarding	tender offer	2
contract awarding	contract management	2
bill of sale	contract of sale	2
bill of sale	hire purchase	2
bill of sale	manufacturer’s certificate of origin	2
arbitration clause	epic systems corp. v. lewis	2
arbitration clause	united states supreme court	2
arbitration clause	national labor relations act	2
